Anthony Rendon (3B/2B, WSH)	SF	4.50	4.03	0.44	0.82	0.24	0.01	0.16	0.53	0.56	0.04	0.01	0.69	0.299	2.89	$3900	0.74
Ian Kinsler (2B, DET)	BAL	4.84	4.60	0.14	0.87	0.25	0.06	0.13	0.59	0.49	0.10	0.03	0.57	0.280	2.69	$4100	0.66
Asdrubal Cabrera (SS/2B, WSH)	SF	3.83	3.45	0.28	0.57	0.19	0.03	0.13	0.47	0.53	0.09	0.04	0.57	0.261	2.42	$2300	1.05
*Howie Kendrick (2B, LAA)	KC	4.33	3.99	0.29	0.99	0.19	0.02	0.05	0.56	0.30	0.06	0.01	0.61	0.306	2.22	$3400	0.65
Joe Panik (2B/SS, SF)	WSH	4.59	4.27	0.24	1.09	0.27	0.00	0.01	0.47	0.31	0.00	0.05	0.81	0.314	2.01	$2400	0.84
Ryan Flaherty (2B/3B, BAL)	DET	3.99	3.55	0.28	0.54	0.22	0.00	0.09	0.41	0.40	0.04	0.07	0.84	0.236	1.9	$2500	0.76
*Omar Infante (2B, KC)	LAA	3.95	3.52	0.28	0.69	0.23	0.04	0.02	0.37	0.38	0.05	0.05	0.37	0.268	1.89	$2500	0.76
Jonathan Schoop (2B/3B, BAL)	DET	3.77	3.50	0.13	0.52	0.19	0.03	0.07	0.31	0.37	0.01	0.03	0.80	0.226	1.45	$2300	0.63
*Darwin Barney (2B, LAD)	STL	4.59	4.29	0.20	0.71	0.17	0.00	0.06	0.38	0.26	0.00	0.05	0.52	0.217	1.34	$2600	0.52
*Erisbel Arruebarrena (SS/2B, LAD)	STL	3.81	3.47	0.16	0.31	0.07	0.00	0.00	0.09	0.06	0.00	0.02	1.57	0.108	0.01	$2500	0
