Mike Trout (CF/LF, LAA)	BAL	4.74	3.83	0.73	0.57	0.25	0.01	0.39	0.98	0.97	0.09	0.12	0.96	0.318	4.99	$4800	1.04
Andrew McCutchen (CF, PIT)	ARI	4.63	3.93	0.63	0.71	0.32	0.06	0.19	0.86	0.62	0.12	0.05	0.84	0.321	4.02	$4500	0.89
Jose Bautista (RF, TOR)	HOU	4.70	3.97	0.64	0.83	0.26	0.01	0.23	0.69	0.75	0.02	0.04	0.61	0.332	3.8	$4700	0.81
Albert Pujols (1B, LAA)	BAL	4.63	4.23	0.36	0.78	0.25	0.00	0.32	0.73	0.77	0.03	0.03	0.43	0.319	3.79	$3500	1.08
Victor Martinez (DH/1B, DET)	CHW	4.38	3.92	0.38	0.75	0.30	0.01	0.28	0.68	0.75	0.00	0.05	0.48	0.340	3.72	$4000	0.93
Miguel Cabrera (1B/3B, DET)	CHW	4.49	4.00	0.33	0.71	0.37	0.00	0.24	0.68	0.84	0.00	0.08	0.66	0.327	3.67	$5000	0.73
J.D. Martinez (LF/RF, DET)	CHW	4.16	3.72	0.36	0.68	0.18	0.04	0.29	0.66	0.83	0.04	0.01	0.88	0.323	3.63	$3700	0.98
Todd Frazier (3B/1B, CIN)	MIA	4.61	4.10	0.42	0.72	0.39	0.01	0.15	0.71	0.72	0.15	0.01	0.81	0.304	3.58	$3200	1.12
Paul Goldschmidt (1B, ARI)	PIT	4.38	3.83	0.46	0.66	0.31	0.01	0.19	0.70	0.69	0.12	0.03	0.86	0.301	3.52	$4400	0.8
Josh Harrison (RF/3B, PIT)	ARI	4.85	4.40	0.26	0.94	0.19	0.03	0.16	0.82	0.69	0.15	0.14	0.79	0.299	3.49	$3300	1.06
