*Mike Trout (CF/LF, LAA)	KC	4.69	4.01	0.55	0.68	0.27	0.02	0.31	0.89	0.88	0.06	0.07	0.99	0.318	4.35	$0	0
*Steve Pearce (1B/LF, BAL)	DET	4.40	3.79	0.55	0.81	0.28	0.01	0.22	0.71	0.62	0.08	0.04	0.83	0.344	3.74	$0	0
*Kole Calhoun (RF/LF, LAA)	KC	4.81	4.37	0.40	0.86	0.33	0.05	0.17	0.70	0.51	0.06	0.00	0.78	0.318	3.34	$0	0
*Adam Jones (CF, BAL)	DET	4.62	4.39	0.16	0.81	0.32	0.00	0.21	0.64	0.73	0.09	0.05	0.66	0.301	3.28	$0	0
*Torii Hunter (RF, DET)	BAL	4.63	4.20	0.31	0.78	0.36	0.03	0.18	0.65	0.52	0.01	0.06	0.62	0.317	3.15	$0	0
*Yasiel Puig (RF/CF, LAD)	STL	4.70	4.27	0.34	0.74	0.22	0.04	0.22	0.58	0.58	0.03	0.07	1.06	0.286	3.05	$3900	0.78
*Jayson Werth (RF, WSH)	SF	4.48	3.90	0.55	0.71	0.40	0.01	0.12	0.57	0.43	0.06	0.00	0.93	0.310	3.02	$3500	0.86
*Nick Markakis (RF, BAL)	DET	4.84	4.27	0.45	0.87	0.38	0.01	0.07	0.62	0.51	0.02	0.07	0.48	0.306	2.89	$0	0
*Lorenzo Cain (CF/RF, KC)	LAA	4.38	3.97	0.28	0.79	0.20	0.05	0.08	0.57	0.44	0.32	0.02	0.72	0.274	2.89	$0	0
*Alex Gordon (LF, KC)	LAA	4.04	3.58	0.38	0.56	0.32	0.03	0.14	0.51	0.58	0.03	0.05	0.76	0.289	2.79	$0	0
*Alejandro De Aza (LF/CF, BAL)	DET	4.73	4.25	0.32	0.74	0.31	0.07	0.08	0.60	0.51	0.07	0.02	0.98	0.274	2.71	$0	0
*Gregor Blanco (CF/LF, SF)	WSH	4.57	4.02	0.38	0.74	0.24	0.04	0.08	0.48	0.46	0.18	0.03	0.74	0.268	2.64	$2900	0.91
*J.D. Martinez (LF/RF, DET)	BAL	4.30	3.98	0.23	0.65	0.18	0.04	0.22	0.50	0.54	0.02	0.03	0.95	0.275	2.63	$0	0
*Nelson Cruz (LF/RF, BAL)	DET	4.51	4.03	0.39	0.71	0.22	0.01	0.16	0.43	0.57	0.03	0.07	0.84	0.268	2.6	$0	0
*Nick Castellanos (3B/LF, DET)	BAL	4.08	3.73	0.29	0.80	0.23	0.01	0.14	0.43	0.60	0.00	0.05	0.74	0.312	2.58	$0	0
*Carl Crawford (LF, LAD)	STL	4.25	3.83	0.22	0.71	0.23	0.10	0.06	0.49	0.39	0.16	0.10	0.61	0.276	2.54	$4100	0.62
*Rajai Davis (LF/CF, DET)	BAL	3.85	3.57	0.19	0.73	0.19	0.05	0.09	0.48	0.45	0.15	0.03	0.61	0.288	2.44	$0	0
*Matt Kemp (CF/RF, LAD)	STL	4.48	3.96	0.44	0.61	0.23	0.01	0.16	0.46	0.46	0.00	0.03	1.10	0.252	2.39	$4600	0.52
*Norichika Aoki (RF/CF, KC)	LAA	4.49	4.08	0.33	1.00	0.09	0.05	0.02	0.56	0.37	0.15	0.03	0.33	0.273	2.26	$0	0
*Hunter Pence (RF, SF)	WSH	4.12	3.86	0.18	0.78	0.25	0.02	0.10	0.39	0.47	0.05	0.02	0.54	0.291	2.22	$3300	0.67
*Matt Holliday (LF, STL)	LAD	4.36	3.87	0.38	0.70	0.24	0.02	0.04	0.39	0.31	0.04	0.07	0.55	0.252	1.91	$3500	0.55
*Randal Grichuk (RF/CF, STL)	LAD	4.48	3.92	0.39	0.65	0.20	0.02	0.08	0.26	0.46	0.02	0.07	1.04	0.239	1.91	$2600	0.73
*Josh Hamilton (LF/RF, LAA)	KC	4.14	3.73	0.29	0.67	0.12	0.02	0.08	0.41	0.37	0.03	0.11	1.22	0.236	1.82	$0	0
*Steven Souza (RF/CF, WSH)	SF	4.14	3.77	0.32	0.39	0.03	0.02	0.20	0.35	0.45	0.00	0.02	1.53	0.171	1.67	$0	0
*Jon Jay (CF, STL)	LAD	3.81	3.49	0.15	0.94	0.13	0.01	0.01	0.38	0.18	0.03	0.08	0.65	0.310	1.52	$2300	0.66
*Kevin Frandsen (LF/2B, WSH)	SF	4.59	4.31	0.18	0.80	0.15	0.02	0.01	0.21	0.26	0.00	0.08	0.56	0.221	1.09	$2200	0.5
