Clayton Kershaw (SP, LAD)	ATL	0.52	0.19	0.00	6.89	27.11	5.74	2.20	1.88	0.48	7.05	1.43	2.46	1.04	14.14	$12100	1.17
Jake Arrieta (SP, CHC)	COL	0.47	0.18	0.00	6.27	26.06	5.39	2.65	2.18	0.37	6.96	2.22	3.12	1.21	12.93	$7700	1.68
Gio Gonzalez (SP, WSH)	PHI	0.46	0.28	0.00	6.23	25.20	5.00	2.34	2.06	0.51	6.32	2.08	2.98	1.14	12.33	$9000	1.37
Drew Smyly (SP, DET)	CHW	0.58	0.17	0.00	6.26	26.32	5.92	3.00	2.50	0.78	5.71	1.94	3.60	1.26	11.79	$6900	1.71
Johnny Cueto (SP, CIN)	MIA	0.39	0.35	0.00	6.07	25.23	5.75	2.87	2.40	0.50	5.52	1.84	3.55	1.25	10.75	$10300	1.04
Drew Hutchison (SP, TOR)	HOU	0.43	0.23	0.00	5.95	25.28	5.84	3.01	2.64	0.59	4.75	2.16	3.99	1.34	9.78	$5800	1.69
Tom Koehler (SP, MIA)	CIN	0.33	0.38	0.00	6.09	25.65	5.60	2.99	2.36	0.52	4.72	2.35	3.49	1.31	9.77	$6300	1.55
Cliff Lee (SP, PHI)	WSH	0.30	0.48	0.00	6.64	27.85	6.80	3.56	3.06	0.73	4.91	1.86	4.14	1.30	9.69	$8700	1.11
Zach McAllister (SP, CLE)	SEA	0.45	0.30	0.00	5.88	24.88	5.75	3.12	2.66	0.62	4.54	2.05	4.08	1.33	9.56	$5300	1.8
Tyler Skaggs (SP, LAA)	BAL	0.40	0.30	0.00	5.98	25.33	5.86	3.07	2.66	0.75	4.62	2.09	4.00	1.33	9.54	$6100	1.56
Odrisamer Despaigne (SP, MIA)	SD	0.41	0.25	0.00	5.95	25.27	5.81	2.38	2.01	0.46	3.82	2.29	3.04	1.36	9.4	$0	0
Josh Collmenter (SP/RP, ARI)	PIT	0.35	0.38	0.00	6.26	25.98	6.25	3.50	2.89	0.83	4.00	1.55	4.16	1.24	8.77	$6600	1.33
Jeff Locke (SP, PIT)	ARI	0.37	0.33	0.00	6.11	25.56	6.25	3.40	2.75	0.53	3.87	1.48	4.04	1.26	8.71	$5700	1.53
Yordano Ventura (SP, KC)	MIN	0.33	0.33	0.00	5.82	25.05	6.13	3.55	2.94	0.79	4.38	1.83	4.54	1.37	8.58	$7000	1.23
Julio Teheran (SP, ATL)	LAD	0.18	0.52	0.00	5.88	25.08	6.22	3.22	2.78	0.94	4.58	1.73	4.26	1.35	8.4	$9100	0.92
Bud Norris (SP/RP, BAL)	LAA	0.32	0.37	0.00	5.89	25.38	6.15	3.24	2.81	0.86	3.99	2.23	4.29	1.42	8.35	$6900	1.21
Kevin Correia (SP, MIN)	KC	0.34	0.32	0.00	5.89	24.94	6.16	3.35	2.77	0.83	3.67	1.71	4.22	1.34	8.15	$5000	1.63
Shelby Miller (SP/RP, STL)	SD	0.26	0.45	0.00	5.37	24.09	5.91	3.18	2.69	0.78	4.07	2.56	4.50	1.57	7.79	$5500	1.42
Pedro Hernandez (SP, COL)	CHC	0.19	0.46	0.00	5.70	24.91	6.07	3.64	3.08	0.69	3.75	2.08	4.87	1.43	7.13	$0	0
Chris Ryan Young (SP, SEA)	CLE	0.26	0.49	0.00	5.40	23.74	5.92	3.61	3.02	1.13	3.51	2.03	5.03	1.47	6.93	$6800	1.02
Jake Buchanan (SP, HOU)	TOR	0.21	0.42	0.00	5.64	25.27	6.33	3.77	3.15	0.58	3.37	2.55	5.03	1.57	6.7	$0	0
John Danks (SP, CHW)	DET	0.18	0.58	0.00	5.72	26.13	7.00	4.72	4.06	1.05	3.80	2.44	6.38	1.65	6.18	$6300	0.98
Cody Allen (RP, CLE)	SEA	0.03	0.03	0.31	0.58	2.33	0.42	0.14	0.13	0.04	0.28	0.21	2.06	1.08	0.85	$5600	0.15
Rafael Soriano (RP, WSH)	PHI	0.03	0.03	0.32	0.60	2.42	0.43	0.15	0.14	0.02	0.25	0.20	2.13	1.07	0.83	$0	0
Kenley Jansen (RP, LAD)	ATL	0.03	0.04	0.33	0.62	2.58	0.52	0.23	0.21	0.06	0.30	0.18	3.06	1.12	0.83	$5000	0.17
Aroldis Chapman (RP, CIN)	MIA	0.03	0.03	0.27	0.50	2.04	0.37	0.13	0.12	0.02	0.29	0.19	2.22	1.11	0.79	$0	0
Greg Holland (RP, KC)	MIN	0.03	0.03	0.27	0.49	1.98	0.34	0.10	0.09	0.04	0.25	0.15	1.72	0.99	0.77	$5000	0.15
Joe Nathan (RP, DET)	CHW	0.03	0.04	0.34	0.64	2.80	0.67	0.38	0.35	0.07	0.34	0.26	4.95	1.44	0.75	$0	0
Hector Rondon (RP, CHC)	COL	0.03	0.03	0.31	0.58	2.46	0.52	0.26	0.24	0.02	0.23	0.20	3.64	1.24	0.69	$5000	0.14
Joaquin Benoit (RP, SD)	STL	0.02	0.03	0.26	0.48	1.94	0.34	0.11	0.10	0.04	0.21	0.15	1.90	1.02	0.67	$5000	0.13
Trevor Rosenthal (RP, STL)	SD	0.02	0.03	0.24	0.45	1.86	0.38	0.17	0.16	0.01	0.29	0.21	3.22	1.32	0.66	$5000	0.13
Huston Street (RP, LAA)	BAL	0.02	0.03	0.25	0.46	1.81	0.29	0.07	0.06	0.05	0.15	0.11	1.23	0.86	0.63	$0	0
Zach Britton (RP/SP, BAL)	LAA	0.02	0.03	0.25	0.47	1.91	0.34	0.12	0.11	0.03	0.14	0.14	2.14	1.02	0.58	$5000	0.12
Mark Melancon (RP, PIT)	ARI	0.02	0.03	0.25	0.48	1.92	0.34	0.12	0.11	0.02	0.13	0.06	2.01	0.84	0.58	$5000	0.12
Glen Perkins (RP, MIN)	KC	0.02	0.03	0.23	0.44	1.79	0.34	0.14	0.13	0.02	0.15	0.08	2.71	0.98	0.54	$0	0
Steve Cishek (RP, MIA)	CIN	0.02	0.02	0.23	0.43	1.78	0.36	0.16	0.15	0.02	0.18	0.13	3.16	1.15	0.54	$0	0
Fernando Rodney (RP, SEA)	CLE	0.02	0.02	0.19	0.35	1.43	0.26	0.10	0.09	0.01	0.18	0.15	2.30	1.16	0.52	$0	0
Addison Reed (RP, ARI)	PIT	0.02	0.03	0.24	0.45	1.93	0.42	0.22	0.20	0.10	0.18	0.13	3.92	1.21	0.51	$5000	0.1
Casey Janssen (RP, TOR)	HOU	0.02	0.03	0.26	0.48	2.00	0.39	0.17	0.16	0.05	0.10	0.05	2.91	0.91	0.5	$5000	0.1
Craig Kimbrel (RP, ATL)	LAD	0.02	0.02	0.17	0.31	1.24	0.21	0.07	0.06	0.01	0.17	0.12	1.79	1.07	0.5	$5000	0.1
Chad Qualls (RP, HOU)	TOR	0.02	0.03	0.24	0.45	1.86	0.37	0.17	0.15	0.03	0.10	0.07	3.10	0.99	0.48	$5000	0.1
Jonathan Papelbon (RP, PHI)	WSH	0.02	0.02	0.18	0.33	1.34	0.24	0.08	0.07	0.01	0.12	0.08	1.99	0.96	0.46	$0	0
LaTroy Hawkins (RP, COL)	CHC	0.02	0.02	0.19	0.35	1.43	0.28	0.12	0.11	0.02	0.11	0.08	2.92	1.04	0.43	$5000	0.09
Jake Petricka (RP, CHW)	DET	0.01	0.02	0.16	0.29	1.17	0.21	0.08	0.07	0.00	0.14	0.14	2.21	1.21	0.4	$0	0
