*Yasiel Puig (RF/CF, LAD)	STL	4.70	4.27	0.34	0.74	0.22	0.04	0.22	0.58	0.58	0.03	0.07	1.06	0.286	3.05	$3900	0.78
Jayson Werth (RF, WSH)	SF	4.48	3.90	0.55	0.71	0.40	0.01	0.12	0.57	0.43	0.06	0.00	0.93	0.310	3.02	$3500	0.86
Denard Span (CF, WSH)	SF	4.70	4.23	0.36	0.79	0.24	0.03	0.07	0.56	0.28	0.30	0.04	0.51	0.264	2.7	$3500	0.77
Gregor Blanco (CF/LF, SF)	WSH	4.57	4.02	0.38	0.74	0.24	0.04	0.08	0.48	0.46	0.18	0.03	0.74	0.268	2.64	$2900	0.91
*Carl Crawford (LF, LAD)	STL	4.25	3.83	0.22	0.71	0.23	0.10	0.06	0.49	0.39	0.16	0.10	0.61	0.276	2.54	$4100	0.62
*Matt Kemp (CF/RF, LAD)	STL	4.48	3.96	0.44	0.61	0.23	0.01	0.16	0.46	0.46	0.00	0.03	1.10	0.252	2.39	$4600	0.52
Hunter Pence (RF, SF)	WSH	4.12	3.86	0.18	0.78	0.25	0.02	0.10	0.39	0.47	0.05	0.02	0.54	0.291	2.22	$3300	0.67
*Matt Holliday (LF, STL)	LAD	4.36	3.87	0.38	0.70	0.24	0.02	0.04	0.39	0.31	0.04	0.07	0.55	0.252	1.91	$3500	0.55
*Randal Grichuk (RF/CF, STL)	LAD	4.48	3.92	0.39	0.65	0.20	0.02	0.08	0.26	0.46	0.02	0.07	1.04	0.239	1.91	$2600	0.73
Bryce Harper (LF/CF, WSH)	SF	4.14	3.79	0.28	0.66	0.14	0.01	0.09	0.40	0.36	0.00	0.05	1.13	0.231	1.69	$2800	0.6
*Jon Jay (CF, STL)	LAD	3.81	3.49	0.15	0.94	0.13	0.01	0.01	0.38	0.18	0.03	0.08	0.65	0.310	1.52	$2300	0.66
